alexnet_num-15300 top1:0.5684967320261438, top5:0.7928104575163398, time cost: 0.5849781036376953s
alexnet_num-15400 top1:0.5688311688311688, top5:0.7928571428571428, time cost: 0.5890073776245117s
alexnet_num-15500 top1:0.5686451612903226, top5:0.792258064516129, time cost: 0.6302447319030762s
alexnet_num-15600 top1:0.5682692307692307, top5:0.7919871794871794, time cost: 0.6237013339996338s
alexnet_num-15700 top1:0.5685987261146497, top5:0.7922292993630573, time cost: 0.5983617305755615s
alexnet_num-15800 top1:0.5685443037974683, top5:0.7925949367088607, time cost: 0.6378514766693115s
alexnet_num-15900 top1:0.5682389937106919, top5:0.7923270440251572, time cost: 0.5926918983459473s
alexnet_num-16000 top1:0.5686875, top5:0.7925625, time cost: 0.60062575340271s
alexnet_num-16100 top1:0.5680124223602484, top5:0.7924223602484473, time cost: 0.5842335224151611s
alexnet_num-16200 top1:0.5675925925925925, top5:0.792716049382716, time cost: 0.5838546752929688s
alexnet_num-16300 top1:0.5674846625766872, top5:0.7926380368098159, time cost: 0.7474753856658936s
alexnet_num-16400 top1:0.5676219512195122, top5:0.7927439024390244, time cost: 0.6088869571685791s
alexnet_num-16500 top1:0.5672121212121212, top5:0.7921212121212121, time cost: 0.6515920162200928s
alexnet_num-16600 top1:0.5672289156626507, top5:0.7925301204819277, time cost: 0.637293815612793s
alexnet_num-16700 top1:0.5673053892215569, top5:0.792754491017964, time cost: 0.6213505268096924s
alexnet_num-16800 top1:0.567202380952381, top5:0.7926190476190477, time cost: 0.6222836971282959s
alexnet_num-16900 top1:0.566923076923077, top5:0.7923668639053254, time cost: 0.5916905403137207s
alexnet_num-17000 top1:0.5668235294117647, top5:0.7928823529411765, time cost: 0.5990252494812012s
alexnet_num-17100 top1:0.5667251461988304, top5:0.7928070175438596, time cost: 0.6047275066375732s
alexnet_num-17200 top1:0.5666279069767441, top5:0.7927325581395349, time cost: 0.6149351596832275s
alexnet_num-17300 top1:0.5667630057803468, top5:0.7930057803468208, time cost: 0.6335361003875732s
alexnet_num-17400 top1:0.5665517241379311, top5:0.7928735632183908, time cost: 0.6490378379821777s
alexnet_num-17500 top1:0.5668571428571428, top5:0.7929714285714285, time cost: 0.6335713863372803s
alexnet_num-17600 top1:0.566875, top5:0.7932954545454546, time cost: 0.6433351039886475s
alexnet_num-17700 top1:0.5666666666666667, top5:0.7931638418079096, time cost: 0.6341567039489746s
alexnet_num-17800 top1:0.5661797752808989, top5:0.7930898876404494, time cost: 0.68572998046875s
alexnet_num-17900 top1:0.5662569832402234, top5:0.793072625698324, time cost: 0.8282680511474609s
alexnet_num-18000 top1:0.5664444444444444, top5:0.7932222222222223, time cost: 0.6019508838653564s
alexnet_num-18100 top1:0.5659668508287293, top5:0.7932044198895027, time cost: 0.5998215675354004s
alexnet_num-18200 top1:0.5664285714285714, top5:0.7936813186813186, time cost: 0.6739397048950195s
alexnet_num-18300 top1:0.5662295081967214, top5:0.7937158469945356, time cost: 0.6442794799804688s
alexnet_num-18400 top1:0.5657608695652174, top5:0.7932065217391304, time cost: 0.616199254989624s
alexnet_num-18500 top1:0.5656756756756757, top5:0.7932432432432432, time cost: 0.6079895496368408s
alexnet_num-18600 top1:0.5652150537634408, top5:0.7930645161290323, time cost: 0.6160235404968262s
alexnet_num-18700 top1:0.5652941176470588, top5:0.793048128342246, time cost: 0.6662981510162354s
alexnet_num-18800 top1:0.5655851063829788, top5:0.7929787234042553, time cost: 0.5905241966247559s
alexnet_num-18900 top1:0.5651851851851852, top5:0.7931746031746032, time cost: 0.608098030090332s
alexnet_num-19000 top1:0.5652631578947368, top5:0.7933157894736842, time cost: 0.7130234241485596s
alexnet_num-19100 top1:0.5652879581151833, top5:0.7932460732984293, time cost: 0.6059305667877197s
alexnet_num-19200 top1:0.5653645833333333, top5:0.7932291666666667, time cost: 0.6269071102142334s
alexnet_num-19300 top1:0.565440414507772, top5:0.7935233160621762, time cost: 0.6576550006866455s
alexnet_num-19400 top1:0.5654639175257732, top5:0.7935051546391753, time cost: 0.5838320255279541s
alexnet_num-19500 top1:0.5651794871794872, top5:0.7935897435897435, time cost: 0.7029736042022705s
alexnet_num-19600 top1:0.5653571428571429, top5:0.7936224489795919, time cost: 0.6111946105957031s
alexnet_num-19700 top1:0.5649746192893401, top5:0.7933502538071066, time cost: 0.6436808109283447s
alexnet_num-19800 top1:0.5652020202020202, top5:0.7935353535353535, time cost: 0.6036458015441895s
alexnet_num-19900 top1:0.5647738693467337, top5:0.7932160804020101, time cost: 0.6313786506652832s
alexnet_num-20000 top1:0.56485, top5:0.79315, time cost: 0.6363925933837891s
alexnet_num-20100 top1:0.5651741293532339, top5:0.79318407960199, time cost: 0.5884759426116943s
alexnet_num-20200 top1:0.5647029702970296, top5:0.792970297029703, time cost: 0.6228678226470947s
alexnet_num-20300 top1:0.5645320197044335, top5:0.7928571428571428, time cost: 0.6033923625946045s
alexnet_num-20400 top1:0.5648039215686275, top5:0.7929901960784314, time cost: 0.5829164981842041s
alexnet_num-20500 top1:0.5649756097560975, top5:0.7930731707317074, time cost: 0.7240290641784668s
alexnet_num-20600 top1:0.5651941747572815, top5:0.7931553398058252, time cost: 0.590378999710083s
alexnet_num-20700 top1:0.5651207729468599, top5:0.7932850241545893, time cost: 0.6216127872467041s
alexnet_num-20800 top1:0.5653365384615384, top5:0.7934615384615384, time cost: 0.6062309741973877s
alexnet_num-20900 top1:0.5655023923444976, top5:0.7935406698564593, time cost: 0.5753109455108643s
alexnet_num-21000 top1:0.5657619047619048, top5:0.7936190476190477, time cost: 0.6121370792388916s
alexnet_num-21100 top1:0.5654028436018957, top5:0.793649289099526, time cost: 0.5993738174438477s
alexnet_num-21200 top1:0.5653301886792453, top5:0.7937264150943396, time cost: 0.5919938087463379s
alexnet_num-21300 top1:0.5656338028169015, top5:0.7941784037558686, time cost: 0.6472554206848145s
alexnet_num-21400 top1:0.5655607476635514, top5:0.7941588785046729, time cost: 0.583247184753418s
alexnet_num-21500 top1:0.5656279069767441, top5:0.794046511627907, time cost: 0.5820510387420654s
alexnet_num-21600 top1:0.5652314814814815, top5:0.7943055555555556, time cost: 0.5768990516662598s
alexnet_num-21700 top1:0.5653456221198156, top5:0.7945622119815668, time cost: 0.6374297142028809s
alexnet_num-21800 top1:0.565091743119266, top5:0.7944495412844037, time cost: 0.6049227714538574s
alexnet_num-21900 top1:0.5649771689497717, top5:0.7942465753424658, time cost: 0.6370313167572021s
alexnet_num-22000 top1:0.5652272727272727, top5:0.7943181818181818, time cost: 0.6102652549743652s
alexnet_num-22100 top1:0.5651131221719456, top5:0.7943438914027149, time cost: 0.6059653759002686s
alexnet_num-22200 top1:0.564954954954955, top5:0.7940990990990991, time cost: 0.5819158554077148s
alexnet_num-22300 top1:0.5647085201793722, top5:0.7939013452914798, time cost: 0.5948493480682373s
alexnet_num-22400 top1:0.5648214285714286, top5:0.7940178571428571, time cost: 0.6130831241607666s
alexnet_num-22500 top1:0.5647555555555556, top5:0.7941333333333334, time cost: 0.7515504360198975s
alexnet_num-22600 top1:0.565, top5:0.7941150442477876, time cost: 0.6282672882080078s
alexnet_num-22700 top1:0.5646255506607929, top5:0.7939647577092511, time cost: 0.6399397850036621s
alexnet_num-22800 top1:0.5647368421052632, top5:0.7940789473684211, time cost: 0.613532543182373s
alexnet_num-22900 top1:0.5644978165938864, top5:0.7939301310043668, time cost: 0.5968716144561768s
alexnet_num-23000 top1:0.5641304347826087, top5:0.7938695652173913, time cost: 0.6135380268096924s
alexnet_num-23100 top1:0.5641991341991341, top5:0.7936796536796537, time cost: 0.6210649013519287s
alexnet_num-23200 top1:0.564051724137931, top5:0.7936206896551724, time cost: 0.6388304233551025s
alexnet_num-23300 top1:0.5639914163090128, top5:0.7936051502145923, time cost: 0.6517174243927002s
alexnet_num-23400 top1:0.5641880341880342, top5:0.7936752136752137, time cost: 0.609673261642456s
