mobilenetv2_num-20800 top1:0.7175480769230769, top5:0.9024519230769231, time cost: 3.9763481616973877s
mobilenetv2_num-20900 top1:0.7176076555023924, top5:0.902488038277512, time cost: 3.923347234725952s
mobilenetv2_num-21000 top1:0.7178095238095238, top5:0.9027619047619048, time cost: 3.9731345176696777s
mobilenetv2_num-21100 top1:0.7178199052132701, top5:0.9027962085308057, time cost: 3.9582159519195557s
mobilenetv2_num-21200 top1:0.7177358490566038, top5:0.9029245283018867, time cost: 3.958449602127075s
mobilenetv2_num-21300 top1:0.717887323943662, top5:0.9032394366197183, time cost: 4.004207611083984s
mobilenetv2_num-21400 top1:0.7175233644859813, top5:0.9032710280373831, time cost: 3.935290813446045s
mobilenetv2_num-21500 top1:0.7176279069767442, top5:0.9032558139534884, time cost: 3.9405086040496826s
mobilenetv2_num-21600 top1:0.7175925925925926, top5:0.9031018518518519, time cost: 3.934278964996338s
mobilenetv2_num-21700 top1:0.7177880184331797, top5:0.9032258064516129, time cost: 3.9962620735168457s
mobilenetv2_num-21800 top1:0.7177981651376146, top5:0.9029357798165137, time cost: 3.974046230316162s
mobilenetv2_num-21900 top1:0.7176712328767123, top5:0.9028767123287671, time cost: 4.0287253856658936s
mobilenetv2_num-22000 top1:0.7179545454545454, top5:0.9029090909090909, time cost: 3.989773750305176s
mobilenetv2_num-22100 top1:0.717737556561086, top5:0.9029411764705882, time cost: 4.025010824203491s
mobilenetv2_num-22200 top1:0.7177927927927928, top5:0.9028378378378379, time cost: 3.997389793395996s
mobilenetv2_num-22300 top1:0.7174439461883408, top5:0.9028699551569507, time cost: 3.9162182807922363s
mobilenetv2_num-22400 top1:0.7176339285714286, top5:0.9029910714285714, time cost: 3.9468019008636475s
mobilenetv2_num-22500 top1:0.7176444444444444, top5:0.9031111111111111, time cost: 4.089031457901001s
mobilenetv2_num-22600 top1:0.7176548672566372, top5:0.9030088495575221, time cost: 3.94743275642395s
mobilenetv2_num-22700 top1:0.7173127753303965, top5:0.9029955947136564, time cost: 3.9273743629455566s
mobilenetv2_num-22800 top1:0.7172368421052632, top5:0.9029385964912281, time cost: 3.905919313430786s
mobilenetv2_num-22900 top1:0.7170742358078602, top5:0.9027510917030568, time cost: 3.9073493480682373s
mobilenetv2_num-23000 top1:0.7167391304347827, top5:0.9029130434782608, time cost: 3.92777156829834s
mobilenetv2_num-23100 top1:0.7164935064935065, top5:0.9026406926406927, time cost: 4.02852725982666s
mobilenetv2_num-23200 top1:0.7164224137931035, top5:0.9026724137931035, time cost: 4.1306493282318115s
mobilenetv2_num-23300 top1:0.7163519313304721, top5:0.902618025751073, time cost: 3.9921979904174805s
mobilenetv2_num-23400 top1:0.7167094017094017, top5:0.9027350427350427, time cost: 3.930748701095581s
mobilenetv2_num-23500 top1:0.7168510638297872, top5:0.9028936170212766, time cost: 3.937134265899658s
mobilenetv2_num-23600 top1:0.716864406779661, top5:0.9028813559322034, time cost: 3.9162118434906006s
mobilenetv2_num-23700 top1:0.7163713080168777, top5:0.9027848101265823, time cost: 3.92358660697937s
mobilenetv2_num-23800 top1:0.7164285714285714, top5:0.9028991596638656, time cost: 3.9529430866241455s
mobilenetv2_num-23900 top1:0.7163598326359832, top5:0.9026778242677824, time cost: 3.9016432762145996s
mobilenetv2_num-24000 top1:0.716125, top5:0.9024166666666666, time cost: 3.9032766819000244s
mobilenetv2_num-24100 top1:0.7160165975103735, top5:0.9023236514522821, time cost: 3.977692127227783s
mobilenetv2_num-24200 top1:0.7160330578512397, top5:0.9024793388429752, time cost: 3.9178733825683594s
mobilenetv2_num-24300 top1:0.7162139917695474, top5:0.9024691358024691, time cost: 3.9474358558654785s
mobilenetv2_num-24400 top1:0.7161885245901639, top5:0.9022950819672131, time cost: 4.034226894378662s
mobilenetv2_num-24500 top1:0.7159591836734693, top5:0.9021632653061225, time cost: 3.9124224185943604s
mobilenetv2_num-24600 top1:0.7161788617886179, top5:0.9023170731707317, time cost: 3.9252748489379883s
mobilenetv2_num-24700 top1:0.7161133603238866, top5:0.9023886639676113, time cost: 3.919121265411377s
mobilenetv2_num-24800 top1:0.7162096774193548, top5:0.9025806451612903, time cost: 3.908660888671875s
mobilenetv2_num-24900 top1:0.7162650602409638, top5:0.9026506024096386, time cost: 3.907557964324951s
mobilenetv2_num-25000 top1:0.71616, top5:0.90256, time cost: 3.9164958000183105s
mobilenetv2_num-25100 top1:0.7162549800796812, top5:0.9026294820717131, time cost: 3.8995912075042725s
mobilenetv2_num-25200 top1:0.7163095238095238, top5:0.9027380952380952, time cost: 3.9325411319732666s
mobilenetv2_num-25300 top1:0.7161264822134388, top5:0.9027667984189723, time cost: 3.932598114013672s
mobilenetv2_num-25400 top1:0.716259842519685, top5:0.9028740157480315, time cost: 4.0284106731414795s
mobilenetv2_num-25500 top1:0.7165098039215686, top5:0.9027843137254902, time cost: 3.986722707748413s
mobilenetv2_num-25600 top1:0.7165234375, top5:0.902734375, time cost: 3.903165578842163s
mobilenetv2_num-25700 top1:0.7167704280155642, top5:0.9027237354085603, time cost: 3.8891143798828125s
mobilenetv2_num-25800 top1:0.7166279069767442, top5:0.9028294573643411, time cost: 3.9100146293640137s
mobilenetv2_num-25900 top1:0.7166023166023165, top5:0.9027413127413128, time cost: 3.941770553588867s
mobilenetv2_num-26000 top1:0.7165769230769231, top5:0.9027307692307692, time cost: 3.9264533519744873s
mobilenetv2_num-26100 top1:0.7166666666666667, top5:0.9028735632183909, time cost: 3.9075124263763428s
mobilenetv2_num-26200 top1:0.7167175572519084, top5:0.9028244274809161, time cost: 3.896679162979126s
mobilenetv2_num-26300 top1:0.7165399239543726, top5:0.9028897338403041, time cost: 3.912424325942993s
mobilenetv2_num-26400 top1:0.7165151515151515, top5:0.9029924242424242, time cost: 3.909227132797241s
mobilenetv2_num-26500 top1:0.7168679245283018, top5:0.9030943396226415, time cost: 3.8869874477386475s
mobilenetv2_num-26600 top1:0.7169924812030075, top5:0.9032330827067669, time cost: 3.9218785762786865s
mobilenetv2_num-26700 top1:0.7169662921348314, top5:0.9029213483146067, time cost: 3.944538116455078s
mobilenetv2_num-26800 top1:0.7169776119402985, top5:0.9027611940298508, time cost: 4.032965898513794s
mobilenetv2_num-26900 top1:0.7168773234200744, top5:0.9025650557620818, time cost: 3.895968437194824s
mobilenetv2_num-27000 top1:0.7168888888888889, top5:0.9023333333333333, time cost: 3.932310104370117s
mobilenetv2_num-27100 top1:0.7167158671586716, top5:0.9021402214022141, time cost: 3.948809862136841s
mobilenetv2_num-27200 top1:0.7168382352941176, top5:0.9022794117647058, time cost: 3.9196298122406006s
mobilenetv2_num-27300 top1:0.7168498168498169, top5:0.9022710622710622, time cost: 3.919593334197998s
mobilenetv2_num-27400 top1:0.7166788321167883, top5:0.9023357664233577, time cost: 3.920497417449951s
mobilenetv2_num-27500 top1:0.7165454545454546, top5:0.9022181818181818, time cost: 3.900697946548462s
mobilenetv2_num-27600 top1:0.7165579710144927, top5:0.9023550724637681, time cost: 3.9314937591552734s
mobilenetv2_num-27700 top1:0.7168592057761732, top5:0.9025631768953069, time cost: 3.938981294631958s
mobilenetv2_num-27800 top1:0.7167625899280575, top5:0.9025179856115108, time cost: 3.9202566146850586s
