densenet169_num-16300 top1:0.7630061349693251, top5:0.9315950920245398, time cost: 3.2847113609313965s
densenet169_num-16400 top1:0.7631707317073171, top5:0.9316463414634146, time cost: 3.155467987060547s
densenet169_num-16500 top1:0.7631515151515151, top5:0.9316969696969697, time cost: 3.2011971473693848s
densenet169_num-16600 top1:0.7634337349397591, top5:0.9317469879518072, time cost: 3.0969035625457764s
densenet169_num-16700 top1:0.7629341317365269, top5:0.9318562874251497, time cost: 3.0256712436676025s
densenet169_num-16800 top1:0.7625, top5:0.9317261904761904, time cost: 3.0352442264556885s
densenet169_num-16900 top1:0.7620118343195267, top5:0.9315384615384615, time cost: 2.995972156524658s
densenet169_num-17000 top1:0.7620588235294118, top5:0.9316470588235294, time cost: 3.070002317428589s
densenet169_num-17100 top1:0.7619883040935672, top5:0.9317543859649123, time cost: 3.1492385864257812s
densenet169_num-17200 top1:0.7623255813953488, top5:0.9317441860465117, time cost: 3.163231611251831s
densenet169_num-17300 top1:0.7628323699421965, top5:0.9319075144508671, time cost: 3.1843695640563965s
densenet169_num-17400 top1:0.7624137931034483, top5:0.9318390804597702, time cost: 3.1959757804870605s
densenet169_num-17500 top1:0.7622857142857142, top5:0.9317142857142857, time cost: 3.189603328704834s
densenet169_num-17600 top1:0.762159090909091, top5:0.9315909090909091, time cost: 3.192467212677002s
densenet169_num-17700 top1:0.7621468926553673, top5:0.9314689265536723, time cost: 3.18103289604187s
densenet169_num-17800 top1:0.7621348314606742, top5:0.9315730337078652, time cost: 3.2406206130981445s
densenet169_num-17900 top1:0.7620670391061453, top5:0.9315083798882682, time cost: 3.381687641143799s
densenet169_num-18000 top1:0.7623333333333333, top5:0.9316111111111111, time cost: 3.1429073810577393s
densenet169_num-18100 top1:0.7620994475138122, top5:0.9312154696132596, time cost: 3.144153118133545s
densenet169_num-18200 top1:0.7623076923076924, top5:0.9314285714285714, time cost: 3.225219964981079s
densenet169_num-18300 top1:0.7624043715846994, top5:0.9314754098360656, time cost: 3.1997780799865723s
densenet169_num-18400 top1:0.7617934782608695, top5:0.931304347826087, time cost: 3.1679012775421143s
densenet169_num-18500 top1:0.7618378378378379, top5:0.9315675675675675, time cost: 3.147203207015991s
densenet169_num-18600 top1:0.761505376344086, top5:0.9317204301075269, time cost: 3.068467855453491s
densenet169_num-18700 top1:0.7617647058823529, top5:0.9318181818181818, time cost: 3.092559337615967s
densenet169_num-18800 top1:0.761968085106383, top5:0.9318085106382978, time cost: 3.002692937850952s
densenet169_num-18900 top1:0.761957671957672, top5:0.9317460317460318, time cost: 2.998406171798706s
densenet169_num-19000 top1:0.7618947368421053, top5:0.9318947368421052, time cost: 3.1345858573913574s
densenet169_num-19100 top1:0.7621989528795812, top5:0.9319371727748691, time cost: 3.043698787689209s
densenet169_num-19200 top1:0.7619791666666667, top5:0.9318229166666666, time cost: 3.1548562049865723s
densenet169_num-19300 top1:0.7618134715025907, top5:0.9316580310880829, time cost: 3.2070469856262207s
densenet169_num-19400 top1:0.7615979381443299, top5:0.9315463917525774, time cost: 3.1174721717834473s
densenet169_num-19500 top1:0.7617435897435897, top5:0.9315384615384615, time cost: 3.262812852859497s
densenet169_num-19600 top1:0.7618367346938776, top5:0.9315816326530613, time cost: 3.1463029384613037s
densenet169_num-19700 top1:0.7616243654822336, top5:0.931522842639594, time cost: 3.190145969390869s
densenet169_num-19800 top1:0.7618181818181818, top5:0.9314141414141414, time cost: 3.032755136489868s
densenet169_num-19900 top1:0.7614572864321608, top5:0.931105527638191, time cost: 3.1550164222717285s
densenet169_num-20000 top1:0.76135, top5:0.93125, time cost: 3.1835110187530518s
densenet169_num-20100 top1:0.7612437810945274, top5:0.9313432835820895, time cost: 3.1430890560150146s
densenet169_num-20200 top1:0.761039603960396, top5:0.9310891089108911, time cost: 3.096005916595459s
densenet169_num-20300 top1:0.7610344827586207, top5:0.9310837438423646, time cost: 3.0804834365844727s
densenet169_num-20400 top1:0.761421568627451, top5:0.9311274509803922, time cost: 3.1192288398742676s
densenet169_num-20500 top1:0.7614634146341464, top5:0.9311219512195122, time cost: 3.2775394916534424s
densenet169_num-20600 top1:0.7616504854368932, top5:0.9313106796116505, time cost: 3.139967918395996s
